pathway,from_region,to_region,from_country,to_country,max_flow,min_flow,voltage,distance,source_1,source_2,assumptions,other_notes
TRNAUSWAIDNNU,AUSWA,IDNNU,AUS,IDN,0.0,0.0,-,-,https://www.internationalaffairs.org.au/australianoutlook/the-cable-connection-australia-and-indonesias-shared-journey-to-net-zero-emissions/,https://openinframap.org/#2/26/12,-,-
TRNIDNJWIDNKA,IDNJW,IDNKA,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNJWIDNNU,IDNJW,IDNNU,IDN,IDN,400.0,400.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,"Indicated transfer limit of 2000 MW between Bali and Java as of 2020 following the IESR study, however following the 2021-2030 National Electricity Supply Business Plan of the Indonesian government the new 500 kv, 220 km, 1600 MW project is still marked as in development with no indicated final completetion year. Existing capacity is therefore considered to be 400 MW.",-
TRNIDNJWIDNSM,IDNJW,IDNSM,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,"Indicated transfer limit of 3000 MW between Sumatra and Java as of 2024 following the IESR study, however following the 2021-2030 The National Electricity Supply Business Plan of the Indonesian government the project is still marked as in development. Further reports state that the project is considered a priority project within the upcoming 2024-2034 long-term electricity procurement plan (https://www.thejakartapost.com/business/2023/11/21/ri-eyes-building-java-sumatra-power-transmission-project-with-jetp-funding.html) however no confirmed completion year to be found as of yet. ",-
TRNIDNKAIDNSL,IDNKA,IDNSL,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNKAMYSSK,IDNKA,MYSSK,IDN,MYS,230.0,230.0,275,128.2,https://onlinelibrary.wiley.com/doi/epdf/10.1111/apv.12343,"https://www.nsenergybusiness.com/projects/trans-borneo-power-grid/#:~:text=On%20the%20Indonesian%20side%2C%20the,and%20Lumar%20of%20Bengkayang%20district.",-,-
TRNIDNMLIDNPP,IDNML,IDNPP,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNMLIDNSL,IDNML,IDNSL,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNNUIDNSL,IDNNU,IDNSL,IDN,IDN,0.0,0.0,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNPPPNGXX,IDNPP,PNGXX,IDN,PNG,0.0,0.0,-,-,https://openinframap.org/#4.84/-6.52/146.34,https://hir.harvard.edu/electrification-in-papua-new-guinea/,-,"Papua New Guinea is just undergoing national electrification now, and as a result there are no current or planned interconnections with Indonesia or other countries."
